fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year,median_home_value,median_household_income,income_source,median_multiple
06091,Sierra,,3.8,2136.0,19.0,6.4516129032,2016,174645.3488608736,43984,5yr,3.970656349146817
06093,Siskiyou,9151.9,4.1,4013.0000000000005,30.3,7.4599818786,2016,174013.20389339144,38524,5yr,4.517007680754632
06095,Solano,6195.5,3.6,3365.0,16.5,6.9222947661,2016,371879.14740224445,73900,1yr,5.032194146173809
06097,Sonoma,4736.8,3.6,2608.0,13.6,5.7087758229,2016,570703.8261132801,73929,1yr,7.7196205293359865
06099,Stanislaus,7103.8,4.1,5881.0,23.8,6.3041188338,2016,259427.0110718013,54305,1yr,4.777221454227075
06101,Sutter,6480.7,3.8,4674.0,20.8,5.8065856445,2016,241022.0294592194,51397,1yr,4.689418243462058
06103,Tehama,7547.7,4.0,4143.0,26.7,5.7063197026,2016,186253.58891521042,40687,5yr,4.577717426087212
06105,Trinity,10280.4,4.1,5923.0,31.7,5.6580565806,2016,225754.5246335269,35270,5yr,6.400752045180802
06107,Tulare,6949.5,4.4,5188.0,36.7,6.2323986776,2016,187924.35579118994,45881,1yr,4.0959080183777585
06109,Tuolumne,6589.3,3.7,2648.0,20.5,4.4836116265,2016,286324.77030802524,50731,5yr,5.643980412529326
06111,Ventura,4776.5,3.3,3690.0,15.8,6.3261797109,2016,555862.3688685974,80135,1yr,6.936574141992855
06113,Yolo,5087.6,3.7,2164.0,17.5,5.5060123123,2016,395093.72201560746,64904,1yr,6.087355509916299
06115,Yuba,7894.4,4.0,6398.0,28.6,6.015037594,2016,226296.4410289332,49259,1yr,4.59401207959831
06001,Alameda,4767.5,3.1999784107,3313.0000000000005,13.8,7.2297013346,2017,776411.9067346147,96296,1yr,8.062763839978969
06003,Alpine,,4.3099873055,,35.7,,2017,357583.22037708363,63438,5yr,5.636735401133132
06005,Amador,6117.9,3.5315961938,3278.0,19.5,6.4285714286,2017,307631.280955333,60636,5yr,5.073409871286579
